source_file,line,context,number_count,action_classes,source_statuses,candidate_source_keys,requires_article_change
manuscript_imrad.qmd,16,"These estimated responses underpin a three year Polish scenario in which annual public investment is either increased or reduced by one percentage point of GDP from 2028 to 2030. By the eighth year, cumulative public-investment multipliers reach 2.87 in the EU27 benchmark and range from 2.37 to 2.91 across the one-stat",12,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,21,"EU fiscal surveillance evaluates member states' fiscal plans by applying legal rules, numerical indicators, medium-term adjustment trajectories, and model-based assessments within the Stability and Growth Pact and the European Semester. This framework establishes the institutional context through which the European Com",5,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,23,"The institutional significance of the Commission's framework arises from its surveillance role. Structural balances, potential output, output gaps, projected debt paths, interest rate assumptions, growth forecasts, and fiscal multipliers are all model-dependent. When integrated into the surveillance model, adjustments ",1,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,25,"The Debt Sustainability Monitor 2025 outlines the Commission's medium-term projection methodology, which integrates Commission forecasts with assumptions regarding potential growth, output gap convergence, structural primary balances, inflation, interest payments, ageing-related expenditures, stock-flow adjustments, de",2,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,27,"The excessive deficit procedure carries institutional authority because non-compliance can initiate Council recommendations, assessments of effective action, revised fiscal adjustment trajectories, intensified monitoring, and possible escalations under the corrective arm. Euro area member states face additional legal p",4,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,29,"The baseline drawn from the Debt Sustainability Monitor is embedded within the Commission surveillance framework. Local projections treat this baseline as an externally determined reference path without re-estimating it. The path uses the Commission forecast round and assumptions on potential growth, output gap closure",7,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,31,"These endpoint assumptions warrant methodological caution. Debt sustainability analysis performs accounting work, deriving outcomes from assumptions on growth, interest, inflation, output gap closure, stock flow adjustments, and primary balances. Within EU surveillance, these assumptions can effectively function as pol",4,add_non_model_source_ledger_entry|manual_line_review_required,manual_review_required|source_ledger_required,manual_source_mapping_required|non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,39,"Dependence on critical assumptions extends beyond the Commission framework. Reinhart and Rogoff (2010) provided influential empirical evidence associating elevated public debt with lower growth rates. Subsequent replication studies and threshold analyses, however, revealed substantial sensitivity of these findings to m",6,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,41,"This debate surrounding debt thresholds introduces an initial caveat: causal inferences drawn from observed correlations between debt and growth remain highly sensitive to choices concerning data handling, functional specification, sample composition, and reverse causality assumptions. When considered together with evi",5,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,43,"A similar evidentiary issue arises in literature addressing expenditure-based consolidations. Alesina, Favero and Giavazzi (2015) constructed multi-year fiscal adjustment plans, categorized each plan by its predominant tax or spending composition, and interpreted subsequent macroeconomic outcomes as indicative of the r",2,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,45,"The first limitation concerns plan endogeneity. Consolidation plans do not represent genuine policy shocks; rather, they typically arise under conditions characterized by elevated debt stress, unfavorable market circumstances, sluggish economic growth, or external constraints. Consequently, treatment status correlates ",3,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,47,"The second limitation concerns aggregation. Alesina, Favero and Giavazzi's plan-level treatment categorizes multi-year consolidation plans by their predominant tax or expenditure components. While this categorization is useful for broadly comparing adjustment styles, it is not designed to isolate the effects of specifi",3,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,49,"The third weakness concerns persistence in the output response and its feedback into debt dynamics. Blanchard and Leigh (2013) show that European consolidation episodes produced systematic growth forecast errors consistent with underestimated fiscal multipliers. DeLong and Summers (2012), Fatas and Summers (2018), and ",6,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,51,"For Poland, these methodological implications enter a concrete surveillance setting through distinct EU fiscal surveillance mechanisms. The medium term fiscal structural plan establishes a net expenditure path, with implementation monitored through annual progress reports. Deficit correction also operates through an ex",1,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,55,"Public investment is the instrument specific focus of this paper. Higher public investment raises current demand, supports public capital formation, and expands future productive capacity. Consolidation through public investment cuts mechanically improves the primary balance, but it also lowers output and reduces the p",5,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,57,"The Commission's Debt Sustainability Monitor 2025 uses a common fiscal multiplier of 0.6 in the relevant fiscal policy scenarios. A 1 percentage point improvement in the structural primary balance reduces actual GDP growth by 0.6 percentage points in the same year, while potential growth is assumed to remain unchanged ",5,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,59,"This instrument specific question requires more than a common multiplier. Public investment, public consumption, transfers, and taxes have different dynamic effects. Multipliers vary by openness, exchange rate regime, public capital stock, fiscal position, monetary accommodation, and horizon (Ilzetzki, Mendoza and Vegh",3,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,64,"| Ministry of Finance of Poland, Medium Term Fiscal Structural Plan 2025-2028 | NEMPF effective consolidation multiplier and one year category multipliers | Effective consolidation multiplier: 0.449 in 2026, 0.498 in 2027, 0.528 in 2028; one year category multipliers: total expenditure 0.788, public investment 1.493. |",10,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,65,"| Haug, Jedrzejowicz and Sznajderska (2019) | Government spending in Poland | Impact 0.70; four quarters 1.13; eight quarters 1.46; peak 1.61 after fourteen quarters. |",5,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,66,| Sznajderska (2025) | Fiscal policy shocks in Poland | Impact spending multiplier 1.25; long run cumulative spending multiplier 1.04; impact tax multiplier -1.18. |,4,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,67,"| Haug, Lyziak and Sznajderska (2025) | Local projection IV government spending in Poland | Peak cumulative linear multiplier 1.53 after six quarters; pre-Covid peak 1.38 after eight quarters. |",3,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,75,"| Ilzetzki, Mendoza and Vegh (2013) | Government consumption, high income countries | Impact 0.39; long run 0.66. |",3,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,76,"| Ilzetzki, Mendoza and Vegh (2013) | Openness and exchange rate regime | Closed economies: impact 0.61, long run 1.10; open economies: impact -0.077, long run -0.46; fixed exchange rates: long run about 1.4; flexible exchange rates: long run about -0.69. |",7,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,77,"| Ilzetzki, Mendoza and Vegh (2013) | Pure government investment shocks | High income countries: impact 0.39, long run 1.5; developing countries: impact 0.57, long run 1.6. |",5,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
manuscript_imrad.qmd,78,"| IMF Working Paper 2019/289 | Public investment and initial public capital stock | Public investment: impact 0.15, two years 0.80; low initial public capital: two years 2.15; high initial public capital: two years 0.15. |",6,add_non_model_source_ledger_entry,source_ledger_required,non_model_literature_source_ledger_required,True
